code,name1c,cat,sub,metal,qty,shops,per,sales,sum_sales,last_dt,last_price
000099715,подвеска подарок (шт.) 84-130-01817-1 (Ag.800),Подвески,,Серебро 800,1690,2,"18 Подружка:1688, 15 Егорьевск №2:2",2657,27,2026-08-08,0.01
000066206,кольцо обр глк 1400008175 (Au.585),Кольца,Обручальные,Золото 585,121,8,"12 Воскресенск №2:26, №4 Луховицы:19, №5 Озёры:17, №1 Раменское №1:16, 14 Электрогорск:14, 15 Егорьевск №2:11, 11 Ногинск №3:10, 18 Подружка:8",1887,16376627,2026-08-18,22784.0
000000159,цепь нц12-053,Цепи,,,29,8,"№4 Луховицы:6, 18 Подружка:5, 11 Ногинск №3:4, 12 Воскресенск №2:4, 15 Егорьевск №2:3, №5 Озёры:3, 14 Электрогорск:3, №1 Раменское №1:1",1666,17758819,2026-07-16,113175.0
000005084,кольцо обр глк 110031,Кольца,Обручальные,,3,3,"15 Егорьевск №2:1, №5 Озёры:1, 12 Воскресенск №2:1",1475,6564186,2025-02-08,28800.0
000005083,кольцо обр глк 110030,Кольца,Обручальные,,5,5,"15 Егорьевск №2:1, №1 Раменское №1:1, №4 Луховицы:1, №5 Озёры:1, 14 Электрогорск:1",1466,8536350,2025-03-02,36224.0
000004027,кольцо обр глк 11000004 (Au.585),Кольца,Обручальные,Золото 585,76,8,"12 Воскресенск №2:14, 14 Электрогорск:12, №4 Луховицы:10, 11 Ногинск №3:10, 15 Егорьевск №2:8, №5 Озёры:8, №1 Раменское №1:7, 18 Подружка:7",1457,15271344,2026-08-30,30592.0
000066210,кольцо обр глк 1400008177 (Au.585),Кольца,Обручальные,Золото 585,22,8,"№5 Озёры:4, 18 Подружка:4, 12 Воскресенск №2:4, 14 Электрогорск:3, №1 Раменское №1:2, №4 Луховицы:2, 11 Ногинск №3:2, 15 Егорьевск №2:1",1357,12517922,2026-08-05,37632.0
000116215,комплект SOKOLOV-SURPRISE-BOX (Ag.925),Комплекты,,Серебро 925,96,3,"№7 Егорьевск №1:44, 17 Солнечногорск:35, 19 Истра:17",1128,1113529,2026-08-31,1980.0
000000993,кольцо обр с/к 01-4038-21,Кольца,Обручальные,,17,5,"11 Ногинск №3:6, №4 Луховицы:4, 12 Воскресенск №2:4, 15 Егорьевск №2:2, №1 Раменское №1:1",1041,16893986,2026-08-10,52992.0
000005797,кольцо обр глк 110029,Кольца,Обручальные,,6,4,"№5 Озёры:2, 12 Воскресенск №2:2, №4 Луховицы:1, 14 Электрогорск:1",805,6231872,2026-06-06,47360.0
000002645,кольцо сис 11010135,Кольца,,,114,8,"№1 Раменское №1:20, №5 Озёры:18, 11 Ногинск №3:17, 14 Электрогорск:14, 12 Воскресенск №2:13, №4 Луховицы:12, 15 Егорьевск №2:10, 18 Подружка:10",784,7407153,2026-08-24,25600.0
000056027,цепь нц12-053 (Au.585),Цепи,,Золото 585,1,1,15 Егорьевск №2:1,753,8378774,2025-08-17,40500.0
000000128,цепь нц12-078,Цепи,,,28,8,"№5 Озёры:5, 15 Егорьевск №2:4, №1 Раменское №1:4, №4 Луховицы:4, 11 Ногинск №3:4, 18 Подружка:3, 12 Воскресенск №2:3, 14 Электрогорск:1",747,9899789,2026-08-06,85885.0
000004728,кольцо обр глк 11000003,Кольца,Обручальные,,55,5,"№4 Луховицы:15, №1 Раменское №1:14, 11 Ногинск №3:11, №5 Озёры:9, 18 Подружка:6",722,4634902,2026-08-27,18048.0
000002646,кольцо сис 11000104,Кольца,,,127,8,"№5 Озёры:22, №1 Раменское №1:18, 11 Ногинск №3:17, 12 Воскресенск №2:16, №4 Луховицы:15, 18 Подружка:14, 14 Электрогорск:13, 15 Егорьевск №2:12",717,4724288,2026-08-14,25600.0
000005396,цепь цнн20512040,Цепи,,,11,7,"№1 Раменское №1:3, №4 Луховицы:2, 12 Воскресенск №2:2, 15 Егорьевск №2:1, №5 Озёры:1, 11 Ногинск №3:1, 14 Электрогорск:1",663,9460052,2026-08-19,99675.0
